n_neighbors,algorithm,weights,p,metric,result
9,ball_tree,distance,2,minkowski,0.3
9,ball_tree,uniform,3,minkowski,0.35
9,ball_tree,distance,3,minkowski,0.3
3,kd_tree,uniform,1,euclidean,0.4
3,kd_tree,distance,1,euclidean,0.35
3,kd_tree,uniform,2,euclidean,0.4
3,kd_tree,distance,2,euclidean,0.35
3,kd_tree,uniform,3,euclidean,0.4
3,kd_tree,distance,3,euclidean,0.35
4,kd_tree,uniform,1,euclidean,0.45
4,kd_tree,distance,1,euclidean,0.3
4,kd_tree,uniform,2,euclidean,0.45
4,kd_tree,distance,2,euclidean,0.3
4,kd_tree,uniform,3,euclidean,0.45
4,kd_tree,distance,3,euclidean,0.3
5,kd_tree,uniform,1,euclidean,0.35
5,kd_tree,distance,1,euclidean,0.3
5,kd_tree,uniform,2,euclidean,0.35
5,kd_tree,distance,2,euclidean,0.3
5,kd_tree,uniform,3,euclidean,0.35
5,kd_tree,distance,3,euclidean,0.3
6,kd_tree,uniform,1,euclidean,0.35
6,kd_tree,distance,1,euclidean,0.35
6,kd_tree,uniform,2,euclidean,0.35
6,kd_tree,distance,2,euclidean,0.35
6,kd_tree,uniform,3,euclidean,0.35
6,kd_tree,distance,3,euclidean,0.35
7,kd_tree,uniform,1,euclidean,0.4
7,kd_tree,distance,1,euclidean,0.35
7,kd_tree,uniform,2,euclidean,0.4
7,kd_tree,distance,2,euclidean,0.35
7,kd_tree,uniform,3,euclidean,0.4
7,kd_tree,distance,3,euclidean,0.35
8,kd_tree,uniform,1,euclidean,0.35
8,kd_tree,distance,1,euclidean,0.3
8,kd_tree,uniform,2,euclidean,0.35
8,kd_tree,distance,2,euclidean,0.3
8,kd_tree,uniform,3,euclidean,0.35
8,kd_tree,distance,3,euclidean,0.3
9,kd_tree,uniform,1,euclidean,0.35
9,kd_tree,distance,1,euclidean,0.3
9,kd_tree,uniform,2,euclidean,0.35
9,kd_tree,distance,2,euclidean,0.3
9,kd_tree,uniform,3,euclidean,0.35
9,kd_tree,distance,3,euclidean,0.3
3,kd_tree,uniform,1,manhattan,0.4
3,kd_tree,distance,1,manhattan,0.5
3,kd_tree,uniform,2,manhattan,0.4
3,kd_tree,distance,2,manhattan,0.5
3,kd_tree,uniform,3,manhattan,0.4
3,kd_tree,distance,3,manhattan,0.5
4,kd_tree,uniform,1,manhattan,0.4
4,kd_tree,distance,1,manhattan,0.3
4,kd_tree,uniform,2,manhattan,0.4
4,kd_tree,distance,2,manhattan,0.3
4,kd_tree,uniform,3,manhattan,0.4
4,kd_tree,distance,3,manhattan,0.3
5,kd_tree,uniform,1,manhattan,0.4
5,kd_tree,distance,1,manhattan,0.35
5,kd_tree,uniform,2,manhattan,0.4
5,kd_tree,distance,2,manhattan,0.35
5,kd_tree,uniform,3,manhattan,0.4
5,kd_tree,distance,3,manhattan,0.35
6,kd_tree,uniform,1,manhattan,0.3
6,kd_tree,distance,1,manhattan,0.4
6,kd_tree,uniform,2,manhattan,0.3
6,kd_tree,distance,2,manhattan,0.4
6,kd_tree,uniform,3,manhattan,0.3
6,kd_tree,distance,3,manhattan,0.4
7,kd_tree,uniform,1,manhattan,0.4
7,kd_tree,distance,1,manhattan,0.3
7,kd_tree,uniform,2,manhattan,0.4
7,kd_tree,distance,2,manhattan,0.3
7,kd_tree,uniform,3,manhattan,0.4
7,kd_tree,distance,3,manhattan,0.3
8,kd_tree,uniform,1,manhattan,0.4
8,kd_tree,distance,1,manhattan,0.3
8,kd_tree,uniform,2,manhattan,0.4
8,kd_tree,distance,2,manhattan,0.3
8,kd_tree,uniform,3,manhattan,0.4
8,kd_tree,distance,3,manhattan,0.3
9,kd_tree,uniform,1,manhattan,0.35
9,kd_tree,distance,1,manhattan,0.35
9,kd_tree,uniform,2,manhattan,0.35
9,kd_tree,distance,2,manhattan,0.35
9,kd_tree,uniform,3,manhattan,0.35
9,kd_tree,distance,3,manhattan,0.35
3,kd_tree,uniform,1,chebyshev,0.35
3,kd_tree,distance,1,chebyshev,0.25
3,kd_tree,uniform,2,chebyshev,0.35
3,kd_tree,distance,2,chebyshev,0.25
3,kd_tree,uniform,3,chebyshev,0.35
3,kd_tree,distance,3,chebyshev,0.25
4,kd_tree,uniform,1,chebyshev,0.3
4,kd_tree,distance,1,chebyshev,0.3
4,kd_tree,uniform,2,chebyshev,0.3
4,kd_tree,distance,2,chebyshev,0.3
4,kd_tree,uniform,3,chebyshev,0.3
4,kd_tree,distance,3,chebyshev,0.3
5,kd_tree,uniform,1,chebyshev,0.35
5,kd_tree,distance,1,chebyshev,0.3
5,kd_tree,uniform,2,chebyshev,0.35
5,kd_tree,distance,2,chebyshev,0.3
5,kd_tree,uniform,3,chebyshev,0.35
5,kd_tree,distance,3,chebyshev,0.3
6,kd_tree,uniform,1,chebyshev,0.4
6,kd_tree,distance,1,chebyshev,0.3
6,kd_tree,uniform,2,chebyshev,0.4
6,kd_tree,distance,2,chebyshev,0.3
6,kd_tree,uniform,3,chebyshev,0.4
6,kd_tree,distance,3,chebyshev,0.3
7,kd_tree,uniform,1,chebyshev,0.35
7,kd_tree,distance,1,chebyshev,0.25
7,kd_tree,uniform,2,chebyshev,0.35
7,kd_tree,distance,2,chebyshev,0.25
7,kd_tree,uniform,3,chebyshev,0.35
7,kd_tree,distance,3,chebyshev,0.25
8,kd_tree,uniform,1,chebyshev,0.35
8,kd_tree,distance,1,chebyshev,0.25
8,kd_tree,uniform,2,chebyshev,0.35
8,kd_tree,distance,2,chebyshev,0.25
8,kd_tree,uniform,3,chebyshev,0.35
8,kd_tree,distance,3,chebyshev,0.25
9,kd_tree,uniform,1,chebyshev,0.35
9,kd_tree,distance,1,chebyshev,0.25
9,kd_tree,uniform,2,chebyshev,0.35
9,kd_tree,distance,2,chebyshev,0.25
9,kd_tree,uniform,3,chebyshev,0.35
9,kd_tree,distance,3,chebyshev,0.25
3,kd_tree,uniform,1,minkowski,0.4
3,kd_tree,distance,1,minkowski,0.5
3,kd_tree,uniform,2,minkowski,0.4
3,kd_tree,distance,2,minkowski,0.35
3,kd_tree,uniform,3,minkowski,0.45
3,kd_tree,distance,3,minkowski,0.35
4,kd_tree,uniform,1,minkowski,0.4
4,kd_tree,distance,1,minkowski,0.3
4,kd_tree,uniform,2,minkowski,0.45
4,kd_tree,distance,2,minkowski,0.3
4,kd_tree,uniform,3,minkowski,0.3
4,kd_tree,distance,3,minkowski,0.3
5,kd_tree,uniform,1,minkowski,0.4
5,kd_tree,distance,1,minkowski,0.35
5,kd_tree,uniform,2,minkowski,0.35
5,kd_tree,distance,2,minkowski,0.3
5,kd_tree,uniform,3,minkowski,0.4
5,kd_tree,distance,3,minkowski,0.35
6,kd_tree,uniform,1,minkowski,0.3
6,kd_tree,distance,1,minkowski,0.4
6,kd_tree,uniform,2,minkowski,0.35
6,kd_tree,distance,2,minkowski,0.35
6,kd_tree,uniform,3,minkowski,0.35
6,kd_tree,distance,3,minkowski,0.25
7,kd_tree,uniform,1,minkowski,0.4
7,kd_tree,distance,1,minkowski,0.3
7,kd_tree,uniform,2,minkowski,0.4
7,kd_tree,distance,2,minkowski,0.35
7,kd_tree,uniform,3,minkowski,0.35
7,kd_tree,distance,3,minkowski,0.2
8,kd_tree,uniform,1,minkowski,0.4
8,kd_tree,distance,1,minkowski,0.3
8,kd_tree,uniform,2,minkowski,0.35
8,kd_tree,distance,2,minkowski,0.3
8,kd_tree,uniform,3,minkowski,0.35
8,kd_tree,distance,3,minkowski,0.25
9,kd_tree,uniform,1,minkowski,0.35
9,kd_tree,distance,1,minkowski,0.35
9,kd_tree,uniform,2,minkowski,0.35
9,kd_tree,distance,2,minkowski,0.3
9,kd_tree,uniform,3,minkowski,0.35
9,kd_tree,distance,3,minkowski,0.3
3,brute,uniform,1,euclidean,0.4
3,brute,distance,1,euclidean,0.35
3,brute,uniform,2,euclidean,0.4
3,brute,distance,2,euclidean,0.35
3,brute,uniform,3,euclidean,0.4
3,brute,distance,3,euclidean,0.35
4,brute,uniform,1,euclidean,0.45
4,brute,distance,1,euclidean,0.3
4,brute,uniform,2,euclidean,0.45
4,brute,distance,2,euclidean,0.3
4,brute,uniform,3,euclidean,0.45
4,brute,distance,3,euclidean,0.3
5,brute,uniform,1,euclidean,0.35
5,brute,distance,1,euclidean,0.3
5,brute,uniform,2,euclidean,0.35
5,brute,distance,2,euclidean,0.3
5,brute,uniform,3,euclidean,0.35
5,brute,distance,3,euclidean,0.3
6,brute,uniform,1,euclidean,0.35
6,brute,distance,1,euclidean,0.35
6,brute,uniform,2,euclidean,0.35
6,brute,distance,2,euclidean,0.35
6,brute,uniform,3,euclidean,0.35
6,brute,distance,3,euclidean,0.35
7,brute,uniform,1,euclidean,0.4
7,brute,distance,1,euclidean,0.35
7,brute,uniform,2,euclidean,0.4
7,brute,distance,2,euclidean,0.35
7,brute,uniform,3,euclidean,0.4
7,brute,distance,3,euclidean,0.35
8,brute,uniform,1,euclidean,0.35
8,brute,distance,1,euclidean,0.3
8,brute,uniform,2,euclidean,0.35
8,brute,distance,2,euclidean,0.3
8,brute,uniform,3,euclidean,0.35
8,brute,distance,3,euclidean,0.3
9,brute,uniform,1,euclidean,0.35
9,brute,distance,1,euclidean,0.3
9,brute,uniform,2,euclidean,0.35
9,brute,distance,2,euclidean,0.3
9,brute,uniform,3,euclidean,0.35
9,brute,distance,3,euclidean,0.3
3,brute,uniform,1,manhattan,0.4
3,brute,distance,1,manhattan,0.5
3,brute,uniform,2,manhattan,0.4
3,brute,distance,2,manhattan,0.5
3,brute,uniform,3,manhattan,0.4
3,brute,distance,3,manhattan,0.5
4,brute,uniform,1,manhattan,0.4
4,brute,distance,1,manhattan,0.3
4,brute,uniform,2,manhattan,0.4
4,brute,distance,2,manhattan,0.3
4,brute,uniform,3,manhattan,0.4
4,brute,distance,3,manhattan,0.3
5,brute,uniform,1,manhattan,0.4
5,brute,distance,1,manhattan,0.35
5,brute,uniform,2,manhattan,0.4
5,brute,distance,2,manhattan,0.35
5,brute,uniform,3,manhattan,0.4
5,brute,distance,3,manhattan,0.35
6,brute,uniform,1,manhattan,0.3
6,brute,distance,1,manhattan,0.4
6,brute,uniform,2,manhattan,0.3
6,brute,distance,2,manhattan,0.4
6,brute,uniform,3,manhattan,0.3
6,brute,distance,3,manhattan,0.4
7,brute,uniform,1,manhattan,0.4
7,brute,distance,1,manhattan,0.3
7,brute,uniform,2,manhattan,0.4
7,brute,distance,2,manhattan,0.3
7,brute,uniform,3,manhattan,0.4
7,brute,distance,3,manhattan,0.3
8,brute,uniform,1,manhattan,0.4
8,brute,distance,1,manhattan,0.3
8,brute,uniform,2,manhattan,0.4
8,brute,distance,2,manhattan,0.3
8,brute,uniform,3,manhattan,0.4
8,brute,distance,3,manhattan,0.3
9,brute,uniform,1,manhattan,0.35
9,brute,distance,1,manhattan,0.35
9,brute,uniform,2,manhattan,0.35
9,brute,distance,2,manhattan,0.35
9,brute,uniform,3,manhattan,0.35
9,brute,distance,3,manhattan,0.35
3,brute,uniform,1,chebyshev,0.35
3,brute,distance,1,chebyshev,0.25
3,brute,uniform,2,chebyshev,0.35
3,brute,distance,2,chebyshev,0.25
3,brute,uniform,3,chebyshev,0.35
3,brute,distance,3,chebyshev,0.25
4,brute,uniform,1,chebyshev,0.3
4,brute,distance,1,chebyshev,0.3
4,brute,uniform,2,chebyshev,0.3
4,brute,distance,2,chebyshev,0.3
4,brute,uniform,3,chebyshev,0.3
4,brute,distance,3,chebyshev,0.3
5,brute,uniform,1,chebyshev,0.35
5,brute,distance,1,chebyshev,0.3
5,brute,uniform,2,chebyshev,0.35
5,brute,distance,2,chebyshev,0.3
5,brute,uniform,3,chebyshev,0.35
5,brute,distance,3,chebyshev,0.3
6,brute,uniform,1,chebyshev,0.4
6,brute,distance,1,chebyshev,0.3
6,brute,uniform,2,chebyshev,0.4
6,brute,distance,2,chebyshev,0.3
6,brute,uniform,3,chebyshev,0.4
6,brute,distance,3,chebyshev,0.3
7,brute,uniform,1,chebyshev,0.35
7,brute,distance,1,chebyshev,0.25
7,brute,uniform,2,chebyshev,0.35
7,brute,distance,2,chebyshev,0.25
7,brute,uniform,3,chebyshev,0.35
7,brute,distance,3,chebyshev,0.25
8,brute,uniform,1,chebyshev,0.35
8,brute,distance,1,chebyshev,0.25
8,brute,uniform,2,chebyshev,0.35
8,brute,distance,2,chebyshev,0.25
8,brute,uniform,3,chebyshev,0.35
8,brute,distance,3,chebyshev,0.25
9,brute,uniform,1,chebyshev,0.35
9,brute,distance,1,chebyshev,0.25
9,brute,uniform,2,chebyshev,0.35
9,brute,distance,2,chebyshev,0.25
9,brute,uniform,3,chebyshev,0.35
9,brute,distance,3,chebyshev,0.25
3,brute,uniform,1,minkowski,0.4
3,brute,distance,1,minkowski,0.5
3,brute,uniform,2,minkowski,0.4
3,brute,distance,2,minkowski,0.35
3,brute,uniform,3,minkowski,0.45
3,brute,distance,3,minkowski,0.35
4,brute,uniform,1,minkowski,0.4
4,brute,distance,1,minkowski,0.3
4,brute,uniform,2,minkowski,0.45
4,brute,distance,2,minkowski,0.3
4,brute,uniform,3,minkowski,0.3
4,brute,distance,3,minkowski,0.3
5,brute,uniform,1,minkowski,0.4
5,brute,distance,1,minkowski,0.35
5,brute,uniform,2,minkowski,0.35
5,brute,distance,2,minkowski,0.3
5,brute,uniform,3,minkowski,0.4
5,brute,distance,3,minkowski,0.35
6,brute,uniform,1,minkowski,0.3
6,brute,distance,1,minkowski,0.4
6,brute,uniform,2,minkowski,0.35
6,brute,distance,2,minkowski,0.35
6,brute,uniform,3,minkowski,0.35
6,brute,distance,3,minkowski,0.25
7,brute,uniform,1,minkowski,0.4
7,brute,distance,1,minkowski,0.3
7,brute,uniform,2,minkowski,0.4
7,brute,distance,2,minkowski,0.35
7,brute,uniform,3,minkowski,0.35
7,brute,distance,3,minkowski,0.2
8,brute,uniform,1,minkowski,0.4
8,brute,distance,1,minkowski,0.3
8,brute,uniform,2,minkowski,0.35
8,brute,distance,2,minkowski,0.3
8,brute,uniform,3,minkowski,0.35
8,brute,distance,3,minkowski,0.25
9,brute,uniform,1,minkowski,0.35
9,brute,distance,1,minkowski,0.35
9,brute,uniform,2,minkowski,0.35
9,brute,distance,2,minkowski,0.3
9,brute,uniform,3,minkowski,0.35
9,brute,distance,3,minkowski,0.3
